ID,SMILES,Name,Category,NR-AR,NR-AR-LBD,NR-AhR,SR-HSE,SR-MMP,SR-p53,NR-AR_CI_low,NR-AR_CI_high,NR-AR-LBD_CI_low,NR-AR-LBD_CI_high,NR-AhR_CI_low,NR-AhR_CI_high,SR-HSE_CI_low,SR-HSE_CI_high,SR-MMP_CI_low,SR-MMP_CI_high,SR-p53_CI_low,SR-p53_CI_high,综合风险分数,风险等级
Emerging-51,OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 51,ether_variant,0.2304014452811132,0.21460570004036658,0.27789146266172754,0.25094438805033636,0.2791835206061429,0.28842355179279816,0.1304014452811132,0.3304014452811132,0.11460570004036658,0.3146057000403666,0.17789146266172753,0.3778914626617276,0.15094438805033636,0.35094438805033634,0.17918352060614287,0.3791835206061429,0.18842355179279816,0.3884235517927982,0.2646361102030109,低风险
PFCA-C14,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro-C14 carboxylic acid,PFCA_variant,0.22989237437998108,0.2154573992536709,0.24891373864001987,0.25121159819891253,0.2766598851604427,0.3529172123256064,0.12989237437998108,0.3298923743799811,0.1154573992536709,0.3154573992536709,0.14891373864001986,0.34891373864001984,0.15121159819891253,0.35121159819891257,0.1766598851604427,0.3766598851604427,0.2529172123256064,0.45291721232560644,0.27449478374374964,低风险
Emerging-36,OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 36,ether_variant,0.2574177484840328,0.20383213583209325,0.26955725641000355,0.2329567725054441,0.25900970702127857,0.374876212442903,0.1574177484840328,0.35741774848403285,0.10383213583209325,0.30383213583209323,0.16955725641000355,0.3695572564100036,0.1329567725054441,0.3329567725054441,0.15900970702127856,0.35900970702127855,0.27487621244290295,0.474876212442903,0.2817239989033408,低风险
PFCA-C13,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro-C13 carboxylic acid,PFCA_variant,0.24079696720308877,0.2152573121898044,0.2715525965061312,0.2761305066878269,0.30187382471276664,0.3519252843291886,0.14079696720308876,0.3407969672030888,0.1152573121898044,0.3152573121898044,0.17155259650613122,0.37155259650613126,0.1761305066878269,0.3761305066878269,0.20187382471276663,0.40187382471276667,0.2519252843291886,0.45192528432918866,0.2879249322943032,低风险
PFCA-C4,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro-C4 carboxylic acid,PFCA_variant,0.2098238348235831,0.27139085377376126,0.26233867632428937,0.5779157997200896,0.2518850435126663,0.28086796343934955,0.1098238348235831,0.3098238348235831,0.17139085377376126,0.37139085377376124,0.16233867632428936,0.3623386763242894,0.4779157997200896,0.6779157997200895,0.15188504351266627,0.35188504351266625,0.18086796343934955,0.3808679634393496,0.28946597540015107,低风险
PFECDA-E3,OC(=O)C(F)(F)OC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,Perfluoroether acid (3 ethers),PFECDA_variant,0.4366768186714107,0.2109327626432669,0.23582220278485633,0.22275249849150147,0.26408485685857735,0.33057941525512713,0.33667681867141075,0.5366768186714107,0.1109327626432669,0.3109327626432669,0.13582220278485632,0.3358222027848563,0.12275249849150147,0.32275249849150145,0.16408485685857735,0.3640848568585774,0.23057941525512712,0.4305794152551271,0.291496314656657,低风险
PFECDA-E4,OC(=O)C(F)(F)OC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,Perfluoroether acid (4 ethers),PFECDA_variant,0.3965114230661866,0.20922956852961716,0.2716525383333328,0.23963219329835353,0.2805292674108036,0.3091595143833976,0.2965114230661866,0.49651142306618656,0.10922956852961715,0.30922956852961714,0.1716525383333328,0.3716525383333328,0.13963219329835352,0.33963219329835354,0.18052926741080358,0.3805292674108036,0.2091595143833976,0.4091595143833976,0.2920891293874017,低风险
Emerging-83,OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 83,ether_variant,0.2866053638258105,0.24235451795087945,0.30497732740613953,0.2596448439956088,0.31410616949154896,0.30693751302589756,0.18660536382581047,0.38660536382581046,0.14235451795087944,0.34235451795087946,0.20497732740613953,0.40497732740613956,0.15964484399560877,0.3596448439956088,0.21410616949154895,0.414106169491549,0.20693751302589755,0.40693751302589753,0.2937418184045325,低风险
Emerging-35,OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 35,ether_variant,0.3067262644245188,0.21153327025215066,0.28743674708411193,0.23112455654415995,0.24210932296919277,0.39576610525331457,0.20672626442451877,0.40672626442451876,0.11153327025215065,0.31153327025215066,0.18743674708411193,0.3874367470841119,0.13112455654415994,0.33112455654415995,0.14210932296919276,0.3421093229691928,0.2957661052533146,0.49576610525331455,0.2951254626672985,低风险
PFECDA-E5,OC(=O)C(F)(F)OC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,Perfluoroether acid (5 ethers),PFECDA_variant,0.4020699932071792,0.23041550167497715,0.2721260710002699,0.2478257215726516,0.26642810270031075,0.31826030014101714,0.3020699932071792,0.5020699932071792,0.13041550167497715,0.33041550167497713,0.17212607100026991,0.37212607100026995,0.14782572157265159,0.34782572157265157,0.16642810270031075,0.3664281027003108,0.21826030014101713,0.4182603001410171,0.2954105310812102,低风险
