pmid,title,journal,year,compound,endpoint,activity,evidence
41222812,Assessing PFAS mixture exposure and thyroid function in U.S. adolescents: insigh,Environmental science and pollution research international,2025,PFOS,NR-AR,1.0,"positive_kw=5, negative_kw=1"
41222812,Assessing PFAS mixture exposure and thyroid function in U.S. adolescents: insigh,Environmental science and pollution research international,2025,PFOS,hepatotoxicity,1.0,"positive_kw=5, negative_kw=1"
41222812,Assessing PFAS mixture exposure and thyroid function in U.S. adolescents: insigh,Environmental science and pollution research international,2025,PFOS,endocrine,1.0,"positive_kw=5, negative_kw=1"
41222812,Assessing PFAS mixture exposure and thyroid function in U.S. adolescents: insigh,Environmental science and pollution research international,2025,PFNA,NR-AR,1.0,"positive_kw=5, negative_kw=1"
41222812,Assessing PFAS mixture exposure and thyroid function in U.S. adolescents: insigh,Environmental science and pollution research international,2025,PFNA,hepatotoxicity,1.0,"positive_kw=5, negative_kw=1"
41222812,Assessing PFAS mixture exposure and thyroid function in U.S. adolescents: insigh,Environmental science and pollution research international,2025,PFNA,endocrine,1.0,"positive_kw=5, negative_kw=1"
41222812,Assessing PFAS mixture exposure and thyroid function in U.S. adolescents: insigh,Environmental science and pollution research international,2025,PFDA,NR-AR,1.0,"positive_kw=5, negative_kw=1"
41222812,Assessing PFAS mixture exposure and thyroid function in U.S. adolescents: insigh,Environmental science and pollution research international,2025,PFDA,hepatotoxicity,1.0,"positive_kw=5, negative_kw=1"
41222812,Assessing PFAS mixture exposure and thyroid function in U.S. adolescents: insigh,Environmental science and pollution research international,2025,PFDA,endocrine,1.0,"positive_kw=5, negative_kw=1"
41222812,Assessing PFAS mixture exposure and thyroid function in U.S. adolescents: insigh,Environmental science and pollution research international,2025,PFHxS,NR-AR,1.0,"positive_kw=5, negative_kw=1"
41222812,Assessing PFAS mixture exposure and thyroid function in U.S. adolescents: insigh,Environmental science and pollution research international,2025,PFHxS,hepatotoxicity,1.0,"positive_kw=5, negative_kw=1"
41222812,Assessing PFAS mixture exposure and thyroid function in U.S. adolescents: insigh,Environmental science and pollution research international,2025,PFHxS,endocrine,1.0,"positive_kw=5, negative_kw=1"
41453585,Childhood susceptibility to PFAS-associated endocrine disruption: NHANES age-str,"Reproductive toxicology (Elmsford, N.Y.)",2026,PFOA,NR-AR,1.0,"positive_kw=3, negative_kw=0"
41453585,Childhood susceptibility to PFAS-associated endocrine disruption: NHANES age-str,"Reproductive toxicology (Elmsford, N.Y.)",2026,PFOA,hepatotoxicity,1.0,"positive_kw=3, negative_kw=0"
41453585,Childhood susceptibility to PFAS-associated endocrine disruption: NHANES age-str,"Reproductive toxicology (Elmsford, N.Y.)",2026,PFOA,endocrine,1.0,"positive_kw=3, negative_kw=0"
41453585,Childhood susceptibility to PFAS-associated endocrine disruption: NHANES age-str,"Reproductive toxicology (Elmsford, N.Y.)",2026,PFOS,NR-AR,1.0,"positive_kw=3, negative_kw=0"
41453585,Childhood susceptibility to PFAS-associated endocrine disruption: NHANES age-str,"Reproductive toxicology (Elmsford, N.Y.)",2026,PFOS,hepatotoxicity,1.0,"positive_kw=3, negative_kw=0"
41453585,Childhood susceptibility to PFAS-associated endocrine disruption: NHANES age-str,"Reproductive toxicology (Elmsford, N.Y.)",2026,PFOS,endocrine,1.0,"positive_kw=3, negative_kw=0"
