pmid,title,journal,year,compound,endpoint,activity,evidence
39512894,Per-and polyfluoroalkyl substances and disrupted sleep: mediating roles of prote,Environmental advances,2024,PFHxS,immunotoxicity,1.0,"positive_kw=4, negative_kw=0"
36801483,"Embryonic exposure to PFAS causes long-term, compound-specific behavioral altera",Neurotoxicology and teratology,2023,PFOA,hepatotoxicity,1.0,"positive_kw=5, negative_kw=0"
36801483,"Embryonic exposure to PFAS causes long-term, compound-specific behavioral altera",Neurotoxicology and teratology,2023,PFOS,hepatotoxicity,1.0,"positive_kw=5, negative_kw=0"
39182754,Asthma and decreased lung function in children exposed to perfluoroalkyl and pol,Environmental research,2024,PFOA,hepatotoxicity,1.0,"positive_kw=3, negative_kw=0"
39182754,Asthma and decreased lung function in children exposed to perfluoroalkyl and pol,Environmental research,2024,PFOS,hepatotoxicity,1.0,"positive_kw=3, negative_kw=0"
28617200,Exposure to PFOA and PFOS and fetal growth: a critical merging of toxicological ,Critical reviews in toxicology,2017,PFOA,NR-AR,1.0,"positive_kw=4, negative_kw=0"
28617200,Exposure to PFOA and PFOS and fetal growth: a critical merging of toxicological ,Critical reviews in toxicology,2017,PFOA,developmental,1.0,"positive_kw=4, negative_kw=0"
28617200,Exposure to PFOA and PFOS and fetal growth: a critical merging of toxicological ,Critical reviews in toxicology,2017,PFOS,NR-AR,1.0,"positive_kw=4, negative_kw=0"
28617200,Exposure to PFOA and PFOS and fetal growth: a critical merging of toxicological ,Critical reviews in toxicology,2017,PFOS,developmental,1.0,"positive_kw=4, negative_kw=0"
37027489,Lipidomic Profiling of PFOA-Exposed Mouse Liver by Multi-Modal Mass Spectrometry,Analytical chemistry,2023,PFOA,NR-AR,1.0,"positive_kw=4, negative_kw=0"
37027489,Lipidomic Profiling of PFOA-Exposed Mouse Liver by Multi-Modal Mass Spectrometry,Analytical chemistry,2023,PFOA,hepatotoxicity,1.0,"positive_kw=4, negative_kw=0"
38652827,In vitro evaluation of the carcinogenic potential of perfluorinated chemicals.,ALTEX,2024,PFOA,NR-AR,1.0,"positive_kw=5, negative_kw=0"
38652827,In vitro evaluation of the carcinogenic potential of perfluorinated chemicals.,ALTEX,2024,PFOA,hepatotoxicity,1.0,"positive_kw=5, negative_kw=0"
38652827,In vitro evaluation of the carcinogenic potential of perfluorinated chemicals.,ALTEX,2024,PFOS,NR-AR,1.0,"positive_kw=5, negative_kw=0"
38652827,In vitro evaluation of the carcinogenic potential of perfluorinated chemicals.,ALTEX,2024,PFOS,hepatotoxicity,1.0,"positive_kw=5, negative_kw=0"
40079289,"[«PFAS», pollutants in the spotlight].",Revue medicale de Liege,2025,PFOA,NR-AR,1.0,"positive_kw=2, negative_kw=0"
40079289,"[«PFAS», pollutants in the spotlight].",Revue medicale de Liege,2025,PFOA,hepatotoxicity,1.0,"positive_kw=2, negative_kw=0"
40079289,"[«PFAS», pollutants in the spotlight].",Revue medicale de Liege,2025,PFOA,developmental,1.0,"positive_kw=2, negative_kw=0"
40079289,"[«PFAS», pollutants in the spotlight].",Revue medicale de Liege,2025,PFOS,NR-AR,1.0,"positive_kw=2, negative_kw=0"
40079289,"[«PFAS», pollutants in the spotlight].",Revue medicale de Liege,2025,PFOS,hepatotoxicity,1.0,"positive_kw=2, negative_kw=0"
