,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Best_Params,CV_Score
LR,0.7777777777777778,0.0,0.0,0.0,0.5,0.2222222222222222,"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}",0.5
SVM,0.7777777777777778,0.5,1.0,0.6666666666666666,0.1428571428571429,0.19642857142857142,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.40499999999999997
RF,0.7777777777777778,0.0,0.0,0.0,0.2857142857142857,0.22619047619047616,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.1
XGBoost,0.7777777777777778,0.0,0.0,0.0,0.28571428571428575,0.225,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.22000000000000003
LightGBM,0.7777777777777778,0.0,0.0,0.0,0.5,0.2222222222222222,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 31}",0.5
GBDT,0.7777777777777778,0.0,0.0,0.0,0.5714285714285714,0.325,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.23500000000000001
