,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Best_Params,CV_Score
LR,0.6666666666666666,0.0,0.0,0.0,0.5,0.3333333333333333,"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}",0.5
SVM,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3873015873015873,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.5583333333333333
RF,0.5555555555555556,0.0,0.0,0.0,0.16666666666666663,0.2757936507936508,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.45
XGBoost,0.2222222222222222,0.0,0.0,0.0,0.2777777777777778,0.30277777777777776,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.375
LightGBM,0.6666666666666666,0.0,0.0,0.0,0.5,0.3333333333333333,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 31}",0.5
GBDT,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.2869047619047619,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.4125
