,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Best_Params,CV_Score
LR,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.6428571428571428,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.625
SVM,0.5555555555555556,0.0,0.0,0.0,0.49999999999999994,0.4027777777777778,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.625
RF,0.6666666666666666,0.5,0.3333333333333333,0.4,0.6388888888888888,0.6095238095238096,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.5083333333333333
XGBoost,0.6666666666666666,0.5,0.3333333333333333,0.4,0.3333333333333333,0.5277777777777778,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.425
LightGBM,0.6666666666666666,0.0,0.0,0.0,0.5,0.3333333333333333,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 31}",0.5
GBDT,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5555555555555556,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.4666666666666667
