,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Best_Params,CV_Score
LR,0.5555555555555556,0.0,0.0,0.0,0.5714285714285714,0.3333333333333333,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.7275
SVM,0.5555555555555556,0.0,0.0,0.0,0.7142857142857142,0.45,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.6599999999999999
RF,0.5555555555555556,0.0,0.0,0.0,0.35714285714285715,0.2777777777777778,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.575
XGBoost,0.5555555555555556,0.0,0.0,0.0,0.6428571428571428,0.3666666666666667,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.6025
LightGBM,0.7777777777777778,0.0,0.0,0.0,0.5,0.2222222222222222,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 31}",0.5
GBDT,0.6666666666666666,0.3333333333333333,0.5,0.4,0.5714285714285714,0.3333333333333333,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.5325
